Grouped Agent,Number of Properties
Foxtons,18
Felicity,14
Purplebricks,8
Keatons,5
Dexters,5
BidX1,4
Butler,4
Waterview,4
Elms,4
Stirling,3
Chase,3
CITY,3
Daniel,2
eXp,2
Let,2
Ellis,2
Ernest,2
Bairstow,2
Oliver,2
Reeds,2
Barnard,1
Good,1
The,1
Life,1
National,1
Allsop,1
Yopa,1
Express,1
James,1
Lloyds,1
Portico,1
Maybury,1
Peach,1
David,1
AWCHILDS,1
Moveli,1
Kinleigh,1
Southern,1
Alex,1
Leonard,1
Your,1
Guinness,1
GetGround,1
Hurford,1
Winkworth,1
SOWN,1
Acorn,1
JOHNS&CO,1
Hammonds,1
Romans,1
Hamptons,1
Jack,1
Oppida,1
Chestertons,1
Franklyn,1
Site,1
JS,1
Open,1
Sail,1
Kings,1
